YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1974,VA,total,932750,50700,5
1974,VT,AI,10,0,
1974,VT,AS,5,0,
1974,VT,BL,10,0,
1974,VT,HI,5,0,
1974,VT,HP,0,0,
1974,VT,MR,0,0,
1974,VT,WH,2370,75,3
1974,VT,total,2395,75,3
1974,WA,AI,7720,315,4
1974,WA,AS,8970,155,2
1974,WA,BL,19020,1710,9
1974,WA,HI,10360,330,3
1974,WA,HP,0,0,
1974,WA,MR,0,0,
1974,WA,WH,379525,10915,3
1974,WA,total,425595,13425,3
1974,WI,AI,4280,290,7
1974,WI,AS,1185,15,1
1974,WI,BL,46305,8615,19
1974,WI,HI,8045,655,8
1974,WI,HP,0,0,
1974,WI,MR,0,0,
1974,WI,WH,286510,11435,4
1974,WI,total,346325,21015,6
1974,WV,AI,65,0,
1974,WV,AS,255,0,
1974,WV,BL,12750,735,6
1974,WV,HI,165,0,
1974,WV,HP,0,0,
1974,WV,MR,0,0,
1974,WV,WH,172275,4170,2
1974,WV,total,185515,4905,3
1974,WY,AI,160,0,
1974,WY,AS,150,0,
1974,WY,BL,510,30,6
1974,WY,HI,1900,70,4
1974,WY,HP,0,0,
1974,WY,MR,0,0,
1974,WY,WH,17090,410,2
1974,WY,total,19810,515,3
1976,AK,AI,18295,275,2
1976,AK,AS,1330,25,2
1976,AK,BL,2505,160,6
1976,AK,HI,865,25,3
1976,AK,HP,0,0,
1976,AK,MR,0,0,
1976,AK,WH,66300,1940,3
1976,AK,total,89295,2425,3
1976,AL,AI,1040,20,2
1976,AL,AS,995,10,1
1976,AL,BL,256420,12125,5
1976,AL,HI,415,10,2
1976,AL,HP,0,0,
1976,AL,MR,0,0,
1976,AL,WH,499035,11395,2
1976,AL,total,757910,23565,3
1976,AR,AI,1575,5,0
1976,AR,AS,930,5,1
1976,AR,BL,102225,6520,6
1976,AR,HI,780,15,2
1976,AR,HP,0,0,
1976,AR,MR,0,0,
1976,AR,WH,349670,5110,1
1976,AR,total,455180,11655,3
1976,AZ,AI,30805,385,1
1976,AZ,AS,3745,20,1
1976,AZ,BL,18245,930,5
1976,AZ,HI,101885,1280,1
1976,AZ,HP,0,0,
1976,AZ,MR,0,0,
1976,AZ,WH,337270,3345,1
1976,AZ,total,491945,5960,1
1976,CA,AI,41295,510,1
1976,CA,AS,183015,2420,1
1976,CA,BL,431385,33580,8
1976,CA,HI,851885,28895,3
1976,CA,HP,0,0,
1976,CA,MR,0,0,
1976,CA,WH,2806395,66220,2
1976,CA,total,4313975,131630,3
1976,CO,AI,3165,35,1
1976,CO,AS,5575,55,1
1976,CO,BL,23780,2165,9
1976,CO,HI,81310,2880,4
1976,CO,HP,0,0,
1976,CO,MR,0,0,
1976,CO,WH,447930,7385,2
1976,CO,total,561755,12520,2
1976,CT,AI,880,10,1
1976,CT,AS,2855,20,1
1976,CT,BL,61530,5670,9
1976,CT,HI,29015,1795,6
1976,CT,HP,0,0,
1976,CT,MR,0,0,
1976,CT,WH,518840,9650,2
1976,CT,total,613125,17145,3
1976,DC,AI,20,0,
1976,DC,AS,700,0,
1976,DC,BL,118985,4595,4
1976,DC,HI,960,10,1
1976,DC,HP,0,0,
1976,DC,MR,0,0,
1976,DC,WH,4395,40,1
1976,DC,total,125060,4650,4
1976,DE,AI,145,0,
1976,DE,AS,750,5,1
1976,DE,BL,27175,2450,9
1976,DE,HI,1575,105,7
1976,DE,HP,0,0,
1976,DE,MR,0,0,
1976,DE,WH,92115,5150,6
1976,DE,total,121760,7710,6
1976,FL,AI,1995,40,2
1976,FL,AS,6970,40,1
1976,FL,BL,351725,27770,8
1976,FL,HI,99165,1700,2
1976,FL,HP,0,0,
1976,FL,MR,0,0,
1976,FL,WH,1076985,36630,3
1976,FL,total,1536840,66180,4
1976,GA,AI,560,5,1
1976,GA,AS,2715,10,0
1976,GA,BL,371285,19695,5
1976,GA,HI,2015,25,1
1976,GA,HP,0,0,
1976,GA,MR,0,0,
1976,GA,WH,692235,18475,3
1976,GA,total,1068815,38210,4
1976,HI,AI,635,0,
